Sp	BOLD	GenBank
Helicoverpa armigera	GBMIN84172-17	KU128857
Helicoverpa armigera	GBMIN84173-17	KT946027
Helicoverpa armigera	GBMIN84179-17	KX079647
Helicoverpa armigera	GBMIN84181-17	KT946077
Helicoverpa armigera	GBMIN84182-17	KT314214
Helicoverpa armigera	GBMIN84185-17	KU128862
Helicoverpa armigera	GBMIN84187-17	KU128859
Helicoverpa armigera	GBMIN84190-17	KX351388
Helicoverpa armigera	GBMIN84192-17	KX079645
Helicoverpa armigera	GBMIN84194-17	KT946075
Helicoverpa armigera	GBMIN84195-17	KU128872
Helicoverpa armigera	GBMIN84198-17	KT946039
Helicoverpa armigera	GBMIN84199-17	KU128882
Helicoverpa armigera	GBMIN84201-17	KU128880
Helicoverpa armigera	GBMIN84204-17	KX440737
Helicoverpa armigera	GBMIN84208-17	KU128858
Helicoverpa armigera	GBMIN84211-17	KT946028
Helicoverpa armigera	GBMIN84212-17	KU128860
Helicoverpa armigera	GBMIN84213-17	KX580620
Helicoverpa armigera	GBMIN84214-17	KT946118
Helicoverpa armigera	GBMIN84215-17	KU255538
Helicoverpa armigera	GBMIN84219-17	KU255539
Helicoverpa armigera	GBMIN84222-17	KU128888
Helicoverpa armigera	GBMIN84227-17	KR183528
Helicoverpa armigera	GBMIN84228-17	KP984524
Helicoverpa armigera	GBMIN84229-17	KU128886
Helicoverpa armigera	GBMIN84234-17	KX440930
Helicoverpa armigera	GBMIN84238-17	KT946058
Helicoverpa armigera	GBMIN84239-17	KP984522
Helicoverpa armigera	GBMNA18712-19	MG437190
Helicoverpa armigera	GBMNA18714-19	MG437192
Helicoverpa armigera	GBMNA18715-19	MG437193
Helicoverpa armigera	GBMNA18716-19	MG437194
Helicoverpa armigera	GBMNA18717-19	MG437195
Helicoverpa armigera	GBMNA19368-19	KT828930
Helicoverpa armigera	GBMNA19388-19	KT828950
Helicoverpa armigera	GBMNA19392-19	KT828954
Helicoverpa armigera	GBMNA19394-19	KT828956
Helicoverpa armigera	GBMNA19398-19	KT828960
Helicoverpa armigera	GBMNA19400-19	KT828962
Helicoverpa armigera	GBMNA19408-19	KT828970
Helicoverpa armigera	GBMNA19415-19	KT828977
Helicoverpa armigera	GBMNA19416-19	KT828978
Helicoverpa armigera	GBMNA19418-19	KT828980
Helicoverpa armigera	GBMNA19421-19	KT828983
Helicoverpa armigera	GBMNA19424-19	KT828986
Helicoverpa armigera	GBMNA19426-19	KT828988
Helicoverpa armigera	GBMNA19496-19	MG893808
Helicoverpa armigera	GBMNA40453-19	MH900533
Helicoverpa armigera	GBMNA40456-19	MH900536
Helicoverpa armigera	GBMNA44958-19	MK386578
Helicoverpa armigera	GBMNA44983-19	MK386603
Helicoverpa armigera	GBMNA45000-19	MK386620
Helicoverpa armigera	GBMNA46267-19	MK579321
Helicoverpa armigera	GBMNC54810-20	MT568731
Helicoverpa armigera	GBMNC54811-20	LC548613
Helicoverpa armigera	GBMNC54812-20	LC548612
Helicoverpa armigera	GBMNC55983-20	MF051893
Helicoverpa armigera	GBMNC56227-20	MF050964
Helicoverpa armigera	GBMNC56228-20	MF050404
Helicoverpa armigera	GBMND21696-21	MT129189
Helicoverpa armigera	GBMND21697-21	MT129269
Helicoverpa armigera	GBMND52054-21	MW582599
Helicoverpa armigera	GBMND52055-21	MW596778
Helicoverpa armigera	GBMNE3971-21	MW085340
Helicoverpa armigera	GBMTG2327-16	NC_014668
Helicoverpa armigera	GMKMW202-15	NA
Helicoverpa armigera	GWORR387-10	HM904276
Helicoverpa armigera	HELAU127-15	KX422494
Helicoverpa armigera	HELAU131-15	KX422496
Helicoverpa armigera	HELAU137-15	KX422495
Helicoverpa armigera	IMLQ099-07	NA
Helicoverpa armigera	LEATG336-14	NA
Helicoverpa armigera	LEPIN001-12	NA
Helicoverpa armigera	LEPIN004-12	NA
Helicoverpa armigera	LEPIN007-12	NA
Helicoverpa armigera	LEPIN008-12	NA
Helicoverpa armigera	LEPIN011-12	NA
Helicoverpa armigera	LEPIN060-14	NA
Helicoverpa armigera	LEPIN063-14	NA
Helicoverpa armigera	LEPIN064-14	NA
Helicoverpa armigera	LEPIN066-14	NA
Helicoverpa armigera	LNSWA895-05	NA
Helicoverpa armigera	LOQTC663-08	NA
Helicoverpa armigera	MAIMB141-09	GU681871
Helicoverpa armigera	MAIMB142-09	GU681868
Helicoverpa armigera	MAMOT1547-12	KX862066
Helicoverpa armigera	MAMOT1583-12	KX862701
Helicoverpa armigera	MAMOT1652-12	KX860462
Helicoverpa armigera	MAMOT1655-12	KX861194
Helicoverpa armigera	MAMOT1656-12	KX863095
Helicoverpa armigera	MAMOT1657-12	KX862379
Helicoverpa armigera	MAMOT1658-12	KX862319
Helicoverpa armigera	MAMOT1659-12	KX862838
Helicoverpa armigera	MAMOT1660-12	KX863170
Helicoverpa armigera	MAMOT1661-12	KX862500
Helicoverpa armigera	MAMOT1717-12	KX860591
Helicoverpa armigera	MAMOT1720-12	NA
Helicoverpa armigera	MAMOT1732-12	KX862294
Helicoverpa armigera	MAMOT1733-12	KX862647
Helicoverpa armigera	MAMOT1734-12	KX860777
Helicoverpa armigera	MAMOT2420-12	KX862816
Helicoverpa armigera	MAMOT3072-13	KX860362
Helicoverpa armigera	MAMOT3076-13	KX860697
Helicoverpa armigera	MAMOT3080-13	KX861854
Helicoverpa armigera	MAMOT3084-13	KX860749
Helicoverpa armigera	MAMOT3085-13	KX860925
Helicoverpa armigera	MAMOT3087-13	KX862381
Helicoverpa armigera	MAMOT3092-13	KX860279
Helicoverpa armigera	MAMOT3093-13	KX861522
Helicoverpa armigera	MAMOT3099-13	KX862918
Helicoverpa armigera	MAMOT3895-13	KX861651
Helicoverpa armigera	MAMOT3896-13	KX860581
Helicoverpa armigera	MAMOT3898-13	KX860405
Helicoverpa armigera	MAMOT3900-13	KX860698
Helicoverpa armigera	MAMOT507-10	HQ991198
Helicoverpa armigera	MAMOT514-10	HQ991204
Helicoverpa armigera	NOCTU008-13	NA
Helicoverpa armigera	NOCTU090-13	NA
Helicoverpa armigera	NSWHH200-09	NA
Helicoverpa armigera	NSWHH355-09	NA
Helicoverpa armigera	NSWHN052-11	NA
Helicoverpa armigera	NZLEP140-20	NA
Helicoverpa armigera	NZPWP160-13	KF153748
Helicoverpa armigera	NZPWP162-13	KF153749
Helicoverpa armigera	QMA823-13	NA
Helicoverpa armigera	RMTKL001-14	KP210095
Helicoverpa armigera	RSHZA007-15	NA
Helicoverpa armigera	RSHZA008-15	NA
Helicoverpa armigera	RSHZA009-15	NA
Helicoverpa armigera	RSHZA016-15	NA
Helicoverpa armigera	SENTO2363-19	MK779610
Helicoverpa armigera	SENTO2364-19	MK779608
Helicoverpa armigera	SENTO2366-19	MK779612
Helicoverpa armigera	SENTO2367-19	MK779615
Helicoverpa armigera	SPMIS207-22	NA
Helicoverpa armigera	TZBCA338-07	NA
Helicoverpa armigera	WALPA4272-13	NA
Helicoverpa armigera	AGIRI007-17	NA
Helicoverpa armigera	GBGL29743-19	KC911713
Helicoverpa armigera	GBGL29753-19	KT946062
Helicoverpa armigera	GBGL29754-19	KT946064
Helicoverpa armigera	GBGL29756-19	KT946080
Helicoverpa armigera	GBMIN84127-17	KT946068
Helicoverpa armigera	GBMIN84143-17	KT946063
Helicoverpa armigera	GBMIN84146-17	KT946069
Helicoverpa armigera	GBMIN84169-17	KT946066
Helicoverpa armigera	GBMIN84178-17	KT946061
Helicoverpa armigera	GBMIN84180-17	KT946072
Helicoverpa armigera	GBMIN84184-17	KT946078
Helicoverpa armigera	GBMIN84191-17	KT946073
Helicoverpa armigera	GBMIN84193-17	KT946070
Helicoverpa armigera	GBMIN84205-17	KT946076
Helicoverpa armigera	GBMIN84207-17	KT946065
Helicoverpa armigera	GBMIN84216-17	KT946071
Helicoverpa armigera	GBMIN84237-17	KT946074
Helicoverpa armigera	LOQ081-04	NA
Helicoverpa armigera	LOQ202-04	NA
Helicoverpa armigera	LOQC512-05	NA
Helicoverpa armigera	NSWHH367-09	NA
Helicoverpa armigera	NSWHM660-11	NA
Helicoverpa armigera	PHLCB020-11	NA
Helicoverpa armigera	PHLCD494-12	NA
Helicoverpa armigera	WALPA5435-13	NA
Helicoverpa armigera	FBLMT866-09	GU654969
Helicoverpa armigera	GBGL29749-19	KT946048
Helicoverpa armigera	GBGL29750-19	KT946050
Helicoverpa armigera	GBGL29751-19	KT946053
Helicoverpa armigera	GBGL29760-19	KT946122
Helicoverpa armigera	GBGL29762-19	KT879870
Helicoverpa armigera	GBGL29975-19	MF673569
Helicoverpa armigera	GBMIN22011-13	JX156327
Helicoverpa armigera	GBMIN22012-13	JX156325
Helicoverpa armigera	GBMIN30892-13	GQ892848
Helicoverpa armigera	GBMIN30901-13	GQ995235
Helicoverpa armigera	GBMIN30902-13	GQ995233
Helicoverpa armigera	GBMIN30911-13	GQ892855
Helicoverpa armigera	GBMIN30917-13	GQ892843
Helicoverpa armigera	GBMIN30923-13	GQ995236
Helicoverpa armigera	GBMIN30924-13	GQ995234
Helicoverpa armigera	GBMIN84153-17	KT946046
Helicoverpa armigera	GBMIN84166-17	KT946052
Helicoverpa armigera	GBMIN84170-17	KT946047
Helicoverpa armigera	GBMIN84224-17	KT946115
Helicoverpa armigera	GBMIN84225-17	KT946119
Helicoverpa armigera	GBMNA19201-19	KT828763
Helicoverpa armigera	GBMNA19202-19	KT828764
Helicoverpa armigera	GBMNA19203-19	KT828765
Helicoverpa armigera	GBMNA19204-19	KT828766
Helicoverpa armigera	GBMNA19205-19	KT828767
Helicoverpa armigera	GBMNA19206-19	KT828768
Helicoverpa armigera	GBMNA19207-19	KT828769
Helicoverpa armigera	GBMNA19208-19	KT828770
Helicoverpa armigera	GBMNA19209-19	KT828771
Helicoverpa armigera	GBMNA19210-19	KT828772
Helicoverpa armigera	GBMNA19211-19	KT828773
Helicoverpa armigera	GBMNA19212-19	KT828774
Helicoverpa armigera	GBMNA19213-19	KT828775
Helicoverpa armigera	GBMNA19214-19	KT828776
Helicoverpa armigera	GBMNA19215-19	KT828777
Helicoverpa armigera	GBMNA19216-19	KT828778
Helicoverpa armigera	GBMNA19217-19	KT828779
Helicoverpa armigera	GBMNA19218-19	KT828780
Helicoverpa armigera	GBMNA19219-19	KT828781
Helicoverpa armigera	GBMNA19220-19	KT828782
Helicoverpa armigera	GBMNA19221-19	KT828783
Helicoverpa armigera	GBMNA19222-19	KT828784
Helicoverpa armigera	GBMNA19223-19	KT828785
Helicoverpa armigera	GBMNA19224-19	KT828786
Helicoverpa armigera	GBMNA19225-19	KT828787
Helicoverpa armigera	GBMNA19226-19	KT828788
Helicoverpa armigera	GBMNA19227-19	KT828789
Helicoverpa armigera	GBMNA19228-19	KT828790
Helicoverpa armigera	GBMNA19229-19	KT828791
Helicoverpa armigera	GBMNA19230-19	KT828792
Helicoverpa armigera	GBMNA19231-19	KT828793
Helicoverpa armigera	GBMNA19232-19	KT828794
Helicoverpa armigera	GBMNA19233-19	KT828795
Helicoverpa armigera	GBMNA19234-19	KT828796
Helicoverpa armigera	GBMNA19235-19	KT828797
Helicoverpa armigera	GBMNA19236-19	KT828798
Helicoverpa armigera	GBMNA19237-19	KT828799
Helicoverpa armigera	GBMNA19238-19	KT828800
Helicoverpa armigera	GBMNA19239-19	KT828801
Helicoverpa armigera	GBMNA19340-19	KT828902
Helicoverpa armigera	GBMNA19341-19	KT828903
Helicoverpa armigera	GBMNA19342-19	KT828904
Helicoverpa armigera	GBMNA19343-19	KT828905
Helicoverpa armigera	GBMNA19344-19	KT828906
Helicoverpa armigera	GBMNA19345-19	KT828907
Helicoverpa armigera	GBMNA19346-19	KT828908
Helicoverpa armigera	GBMNA19347-19	KT828909
Helicoverpa armigera	GBMNA19348-19	KT828910
Helicoverpa armigera	GBMNA19349-19	KT828911
Helicoverpa armigera	GBMNA19350-19	KT828912
Helicoverpa armigera	GBMNA19351-19	KT828913
Helicoverpa armigera	GBMNA19352-19	KT828914
Helicoverpa armigera	GBMNA19353-19	KT828915
Helicoverpa armigera	GBMNA19354-19	KT828916
Helicoverpa armigera	GBMNA19355-19	KT828917
Helicoverpa armigera	GBMNA19356-19	KT828918
Helicoverpa armigera	GBMNA19357-19	KT828919
Helicoverpa armigera	GBMNA19358-19	KT828920
Helicoverpa armigera	GBMNA19359-19	KT828921
Helicoverpa armigera	GBMNA19375-19	KT828937
Helicoverpa armigera	GBMNA19376-19	KT828938
Helicoverpa armigera	GBMNA19377-19	KT828939
Helicoverpa armigera	GBMNA19378-19	KT828940
Helicoverpa armigera	GBMNA19385-19	KT828947
Helicoverpa armigera	GBMNA19386-19	KT828948
Helicoverpa armigera	GBMNA19387-19	KT828949
Helicoverpa armigera	GBMNA19396-19	KT828958
Helicoverpa armigera	GBMNA19397-19	KT828959
Helicoverpa armigera	GBMNA19406-19	KT828968
Helicoverpa armigera	GBMNA19411-19	KT828973
Helicoverpa armigera	GBMNA19414-19	KT828976
Helicoverpa armigera	GBMNA19420-19	KT828982
Helicoverpa armigera	GBMNA19429-19	KT828991
Helicoverpa armigera	GBMNA19432-19	MG893744
Helicoverpa armigera	GBMNA19433-19	MG893745
Helicoverpa armigera	GBMNA19435-19	MG893747
Helicoverpa armigera	GBMNA19441-19	MG893753
Helicoverpa armigera	GBMNA19455-19	MG893767
Helicoverpa armigera	GBMNA19465-19	MG893777
Helicoverpa armigera	GBMNA19468-19	MG893780
Helicoverpa armigera	GBMNA19470-19	MG893782
Helicoverpa armigera	GBMNA19473-19	MG893785
Helicoverpa armigera	GBMNA19474-19	MG893786
Helicoverpa armigera	GBMNA19476-19	MG893788
Helicoverpa armigera	GBMNA19478-19	MG893790
Helicoverpa armigera	GBMNA19483-19	MG893795
Helicoverpa armigera	GBMNA19484-19	MG893796
Helicoverpa armigera	GBMNA19488-19	MG893800
Helicoverpa armigera	GBMNA19490-19	MG893802
Helicoverpa armigera	GBMNA19493-19	MG893805
Helicoverpa armigera	GBMNA19495-19	MG893807
Helicoverpa armigera	GBMNA19509-19	MG893821
Helicoverpa armigera	GBMNA19511-19	MG893823
Helicoverpa armigera	GBMNA19512-19	MG893824
Helicoverpa armigera	GBMNA19514-19	MG893826
Helicoverpa armigera	GBMNA19515-19	MG893827
Helicoverpa armigera	GBMNA19517-19	MG893829
Helicoverpa armigera	GBMNA19522-19	MG893834
Helicoverpa armigera	GBMNA19526-19	MG893838
Helicoverpa armigera	GBMNA19531-19	MG893843
Helicoverpa armigera	GBMND21698-21	MT129371
Helicoverpa armigera	GBMND21699-21	MT129389
Helicoverpa armigera	GBMND21700-21	MT129390
Helicoverpa armigera	GBMNE3970-21	MW085563
Helicoverpa armigera	LASTS383-14	KP253145
Helicoverpa armigera	LCR001-11	NA
Helicoverpa armigera	LEASS580-17	NA
Helicoverpa armigera	LEATF382-14	NA
Helicoverpa armigera	LEATG338-14	NA
Helicoverpa armigera	LEATG339-14	NA
Helicoverpa armigera	LEATG340-14	NA
Helicoverpa armigera	LEFIF322-10	HM875007
Helicoverpa armigera	LEPIN010-12	NA
Helicoverpa armigera	LEPIN061-14	NA
Helicoverpa armigera	LNAUT1392-14	NA
Helicoverpa armigera	LSER545-06	NA
Helicoverpa armigera	MAMOT1548-12	KX861903
Helicoverpa armigera	MAMOT1549-12	KX863215
Helicoverpa armigera	MAMOT1581-12	KX861011
Helicoverpa armigera	MAMOT1653-12	KX862832
Helicoverpa armigera	MAMOT1663-12	KX860792
Helicoverpa armigera	MAMOT2430-12	KX862285
Helicoverpa armigera	MAMOT3075-13	KX862529
Helicoverpa armigera	MAMOT3082-13	KX860297
Helicoverpa armigera	MAMOT3086-13	KX862445
Helicoverpa armigera	MAMOT3088-13	KX861269
Helicoverpa armigera	MAMOT3096-13	KX861722
Helicoverpa armigera	MAMOT3897-13	KX861065
Helicoverpa armigera	MAMOT508-10	HQ991199
Helicoverpa armigera	PHLCC456-11	NA
Helicoverpa armigera	PHLSA443-11	NA
Helicoverpa armigera	PMANK885-08	NA
Helicoverpa armigera	QMA822-13	NA
Helicoverpa armigera	GBGL29759-19	KT946120
Helicoverpa armigera	GBGL29973-19	MF673567
Helicoverpa armigera	GBMNA19266-19	KT828828
Helicoverpa armigera	GBMNA19267-19	KT828829
Helicoverpa armigera	GBMNA19268-19	KT828830
Helicoverpa armigera	GBMNA19269-19	KT828831
Helicoverpa armigera	GBMNA19270-19	KT828832
Helicoverpa armigera	GBMNA19271-19	KT828833
Helicoverpa armigera	GBMNA19272-19	KT828834
Helicoverpa armigera	GBMNA19273-19	KT828835
Helicoverpa armigera	GBMNA19274-19	KT828836
Helicoverpa armigera	GBMNA19275-19	KT828837
Helicoverpa armigera	GBMNA19276-19	KT828838
Helicoverpa armigera	GBMNA19277-19	KT828839
Helicoverpa armigera	GBMNA19278-19	KT828840
Helicoverpa armigera	GBMNA19279-19	KT828841
Helicoverpa armigera	GBMNA19280-19	KT828842
Helicoverpa armigera	GBMNA19281-19	KT828843
Helicoverpa armigera	GBMNA19282-19	KT828844
Helicoverpa armigera	GBMNA19283-19	KT828845
Helicoverpa armigera	GBMNA19284-19	KT828846
Helicoverpa armigera	GBMNA19285-19	KT828847
Helicoverpa armigera	GBMNA19286-19	KT828848
Helicoverpa armigera	GBMNA19287-19	KT828849
Helicoverpa armigera	GBMNA19288-19	KT828850
Helicoverpa armigera	GBMNA19405-19	KT828967
Helicoverpa armigera	GBMNA19419-19	KT828981
Helicoverpa armigera	GBMNA19427-19	KT828989
Helicoverpa armigera	GBMNA19437-19	MG893749
Helicoverpa armigera	GBMNA19464-19	MG893776
Helicoverpa armigera	GBMNA19482-19	MG893794
Helicoverpa armigera	GBMNA19487-19	MG893799
Helicoverpa armigera	GBMNA19494-19	MG893806
Helicoverpa armigera	GBMNA19497-19	MG893809
Helicoverpa armigera	GBMNA19501-19	MG893813
Helicoverpa armigera	GBMNA19510-19	MG893822
Helicoverpa armigera	GBMNA19521-19	MG893833
Helicoverpa armigera	GBMNA19529-19	MG893841
Helicoverpa armigera	GWOR3880-09	JF415782
Helicoverpa armigera	GWORL562-09	GU686757
Helicoverpa armigera	MAMOT515-10	HQ991205
Helicoverpa armigera	GBGL12939-14	KF661376
Helicoverpa armigera	GBGL12948-14	KF661363
Helicoverpa armigera	GBGL13905-14	KF661375
Helicoverpa armigera	GBGL12940-14	KF661377
Helicoverpa armigera	GBGL12945-14	KF661357
Helicoverpa armigera	GBGL12950-14	KF661381
Helicoverpa armigera	GBGL13896-14	KF661370
Helicoverpa armigera	GBGL13897-14	KF661380
Helicoverpa armigera	GBGL13901-14	KF661355
Helicoverpa armigera	GBGL13902-14	KF661356
Helicoverpa armigera	GBGL13908-14	KF661365
Helicoverpa armigera	GBGL13909-14	KF661378
Helicoverpa armigera	GBGL13910-14	KF661353
Helicoverpa armigera	GBGL13911-14	KF661369
Helicoverpa armigera	GBGL13912-14	KF661373
Helicoverpa armigera	GBGL13913-14	KF661374
Helicoverpa armigera	GBGL13914-14	KF661379
Helicoverpa armigera	GBGL13915-14	KF661388
Helicoverpa armigera	GBGL12946-14	KF661361
Helicoverpa armigera	GBGL12947-14	KF661362
Helicoverpa armigera	GBGL13903-14	KF661366
Helicoverpa armigera	GBGL13907-14	KF661389
Helicoverpa armigera	GBGL12942-14	KF661384
Helicoverpa armigera	GBGL17827-15	KJ183511
Helicoverpa armigera	GBGL13894-14	KF661360
Helicoverpa armigera	GBGL13895-14	KF661367
Helicoverpa armigera	GBGL13898-14	KF661385
Helicoverpa armigera	GBGL13899-14	KF661386
Helicoverpa armigera	GBGL13904-14	KF661372
Helicoverpa armigera	GBGL13906-14	KF661382
Helicoverpa armigera	GBGL15259-14	JX509765
Helicoverpa armigera	GBGL16872-15	KM274939
Helicoverpa armigera	GBGL16873-15	KM274940
Helicoverpa armigera	GBGL16891-15	KM274958
Helicoverpa armigera	GBGL16892-15	KM274959
Helicoverpa armigera	GBGL16893-15	KM274960
Helicoverpa armigera	GBGL16897-15	KM274964
Helicoverpa armigera	GBGL16899-15	KM274966
Helicoverpa armigera	GBGL16900-15	KM274967
Helicoverpa armigera	GBGL16901-15	KM274968
Helicoverpa armigera	GBGL16902-15	KM274969
Helicoverpa armigera	GBGL16905-15	KM274972
Helicoverpa armigera	GBGL16908-15	KM274975
Helicoverpa armigera	GBGL16913-15	KM274980
Helicoverpa armigera	GBGL16914-15	KM274981
Helicoverpa armigera	GBGL16921-15	KM274988
Helicoverpa armigera	GBGL16922-15	KM274989
Helicoverpa armigera	GBGL16927-15	KM274994
Helicoverpa armigera	GBGL16979-15	KM275046
Helicoverpa armigera	GBGL16984-15	KM275051
Helicoverpa armigera	GBGL16985-15	KM275052
Helicoverpa armigera	GBGL17003-15	KM275070
Helicoverpa armigera	GBGL17006-15	KM275073
Helicoverpa armigera	GBGL17008-15	KM275075
Helicoverpa armigera	GBGL17011-15	KM275078
Helicoverpa armigera	GBGL17019-15	KM275086
Helicoverpa armigera	GBGL17080-15	KM275147
Helicoverpa armigera	GBGL17021-15	KM275088
Helicoverpa armigera	GBGL17031-15	KM275098
Helicoverpa armigera	GBGL17032-15	KM275099
Helicoverpa armigera	GBGL17037-15	KM275104
Helicoverpa armigera	GBGL17039-15	KM275106
Helicoverpa armigera	GBGL17040-15	KM275107
Helicoverpa armigera	GBGL17041-15	KM275108
Helicoverpa armigera	GBGL17043-15	KM275110
Helicoverpa armigera	GBGL17044-15	KM275111
Helicoverpa armigera	GBGL17060-15	KM275127
Helicoverpa armigera	GBGL17067-15	KM275134
Helicoverpa armigera	GBGL17071-15	KM275138
Helicoverpa armigera	GBGL17073-15	KM275140
Helicoverpa armigera	GBGL17081-15	KM275148
Helicoverpa armigera	GBGL17087-15	KM275154
Helicoverpa armigera	GBGL17089-15	KM275156
Helicoverpa armigera	GBGL16876-15	KM274943
Helicoverpa armigera	GBGL16879-15	KM274946
Helicoverpa armigera	GBGL16882-15	KM274949
Helicoverpa armigera	GBGL16883-15	KM274950
Helicoverpa armigera	GBGL16886-15	KM274953
Helicoverpa armigera	GBGL16894-15	KM274961
Helicoverpa armigera	GBGL16898-15	KM274965
Helicoverpa armigera	GBGL16903-15	KM274970
Helicoverpa armigera	GBGL16906-15	KM274973
Helicoverpa armigera	GBGL16907-15	KM274974
Helicoverpa armigera	GBGL16917-15	KM274984
Helicoverpa armigera	GBGL16918-15	KM274985
Helicoverpa armigera	GBGL16919-15	KM274986
Helicoverpa armigera	GBGL16920-15	KM274987
Helicoverpa armigera	GBGL16923-15	KM274990
Helicoverpa armigera	GBGL16925-15	KM274992
Helicoverpa armigera	GBGL16926-15	KM274993
Helicoverpa armigera	GBGL16928-15	KM274995
Helicoverpa armigera	GBGL16929-15	KM274996
Helicoverpa armigera	GBGL16973-15	KM275040
Helicoverpa armigera	GBGL17009-15	KM275076
Helicoverpa armigera	GBGL17014-15	KM275081
Helicoverpa armigera	GBGL17016-15	KM275083
Helicoverpa armigera	GBGL17017-15	KM275084
Helicoverpa armigera	GBGL17023-15	KM275090
Helicoverpa armigera	GBGL17024-15	KM275091
Helicoverpa armigera	GBGL17033-15	KM275100
Helicoverpa armigera	GBGL17036-15	KM275103
Helicoverpa armigera	GBGL17038-15	KM275105
Helicoverpa armigera	GBGL17085-15	KM275152
Helicoverpa armigera	GBGL17091-15	KM275158
Helicoverpa armigera	GBGL17135-15	KM275202
Helicoverpa armigera	GBGL17137-15	KM275204
Helicoverpa armigera	GBGL17138-15	KM275205
Helicoverpa armigera	GBGL17139-15	KM275206
Helicoverpa armigera	GBGL16890-15	KM274957
Helicoverpa armigera	GBGL16916-15	KM274983
Helicoverpa armigera	GBGL16972-15	KM275039
Helicoverpa armigera	GBGL16976-15	KM275043
Helicoverpa armigera	GBGL16980-15	KM275047
Helicoverpa armigera	GBGL16981-15	KM275048
Helicoverpa armigera	GBGL16982-15	KM275049
Helicoverpa armigera	GBGL16983-15	KM275050
Helicoverpa armigera	GBGL17005-15	KM275072
Helicoverpa armigera	GBGL17013-15	KM275080
Helicoverpa armigera	GBGL17018-15	KM275085
Helicoverpa armigera	GBGL17020-15	KM275087
Helicoverpa armigera	GBGL17022-15	KM275089
Helicoverpa armigera	GBGL17025-15	KM275092
Helicoverpa armigera	GBGL17030-15	KM275097
Helicoverpa armigera	GBGL17042-15	KM275109
Helicoverpa armigera	GBGL17070-15	KM275137
Helicoverpa armigera	GBGL17082-15	KM275149
Helicoverpa armigera	GBGL17083-15	KM275150
Helicoverpa armigera	GBGL17088-15	KM275155
Helicoverpa armigera	GBGL17090-15	KM275157
Helicoverpa armigera	GBGL16912-15	KM274979
Helicoverpa armigera	GBGL17007-15	KM275074
Helicoverpa armigera	GBGL17062-15	KM275129
Helicoverpa armigera	GBGL17063-15	KM275130
Helicoverpa armigera	GBGL17065-15	KM275132
Helicoverpa armigera	GBGL16977-15	KM275044
Helicoverpa armigera	GBGL17004-15	KM275071
Helicoverpa armigera	GBGL17012-15	KM275079
Helicoverpa armigera	GBGL17086-15	KM275153
Helicoverpa armigera	GBGL17072-15	KM275139
Helicoverpa armigera	GBGL19032-15	KP123580
Helicoverpa armigera	GBGL19033-15	KP123581
Helicoverpa armigera	GBGL19034-15	KP123582
Helicoverpa armigera	GBGL19035-15	KP123583
Helicoverpa armigera	GBGL19036-15	KP123584
Helicoverpa armigera	GBGL19037-15	KP123585
Helicoverpa armigera	GBGL19038-15	KP123586
Helicoverpa armigera	GBMIN84137-17	KT946031
Helicoverpa armigera	GBMIN84175-17	KT946029
Helicoverpa armigera	GBMIN84177-17	KT946026
Helicoverpa armigera	GBMIN84183-17	KT946040
Helicoverpa armigera	GBMIN84230-17	KT946034
Helicoverpa armigera	GBMIN84232-17	KT946038
Helicoverpa armigera	GBMIN84186-17	KT946024
Helicoverpa armigera	GBGL29970-19	MF673564
Helicoverpa armigera	GBGL29974-19	MF673568
Helicoverpa armigera	GBMIN22017-13	JX156326
Helicoverpa armigera	GBMIN30895-13	GQ892842
Helicoverpa armigera	GBMIN30900-13	GQ995237
Helicoverpa armigera	GBMIN30922-13	GQ995238
Helicoverpa armigera	GBMIN38867-13	HM854932
Helicoverpa armigera	GBMIN38869-13	HM854928
Helicoverpa armigera	GBMNA19422-19	KT828984
Helicoverpa armigera	GWORL311-09	GU686955
Helicoverpa armigera	MAMOT1552-12	KX862015
Helicoverpa armigera	MAMOT3079-13	KX862490
Helicoverpa armigera	MAMOT3894-13	KX861307
Helicoverpa armigera	GBGL29972-19	MF673566
Helicoverpa armigera	GBMIN30915-13	GQ892847
Helicoverpa armigera	GBMIN30925-13	GQ995232
Helicoverpa armigera	GBMIN84139-17	KT946055
Helicoverpa armigera	GBMIN84160-17	KT946049
Helicoverpa armigera	GBMIN84197-17	KT946124
Helicoverpa armigera	GBMIN84200-17	KT946114
Helicoverpa armigera	GBMNA19240-19	KT828802
Helicoverpa armigera	GBMNA19241-19	KT828803
Helicoverpa armigera	GBMNA19242-19	KT828804
Helicoverpa armigera	GBMNA19243-19	KT828805
Helicoverpa armigera	GBMNA19244-19	KT828806
Helicoverpa armigera	GBMNA19245-19	KT828807
Helicoverpa armigera	GBMNA19246-19	KT828808
Helicoverpa armigera	GBMNA19247-19	KT828809
Helicoverpa armigera	GBMNA19248-19	KT828810
Helicoverpa armigera	GBMNA19249-19	KT828811
Helicoverpa armigera	GBMNA19250-19	KT828812
Helicoverpa armigera	GBMNA19251-19	KT828813
Helicoverpa armigera	GBMNA19252-19	KT828814
Helicoverpa armigera	GBMNA19253-19	KT828815
Helicoverpa armigera	GBMNA19254-19	KT828816
Helicoverpa armigera	GBMNA19255-19	KT828817
Helicoverpa armigera	GBMNA19256-19	KT828818
Helicoverpa armigera	GBMNA19257-19	KT828819
Helicoverpa armigera	GBMNA19258-19	KT828820
